"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"08-Jun-2020","    10326.75","    10328.50","    10120.25","    10167.45","      936485541","        37819.06"
"09-Jun-2020","    10181.15","    10291.15","    10021.45","    10046.65","      754217460","        36201.05"
"10-Jun-2020","    10072.60","    10148.75","    10036.85","    10116.15","      632383068","        28485.47"
"11-Jun-2020","    10094.10","    10112.05","     9885.05","     9902.00","      715453486","        30813.85"
"12-Jun-2020","     9544.95","     9996.05","     9544.35","     9972.90","      796306399","        36505.77"
"15-Jun-2020","     9919.35","     9943.35","     9726.35","     9813.70","      716053036","        31926.65"
"16-Jun-2020","    10014.80","    10046.15","     9728.50","     9914.00","      899895044","        36257.89"
"17-Jun-2020","     9876.70","    10003.60","     9833.80","     9881.15","      685418390","        30700.69"
"18-Jun-2020","     9863.25","    10111.20","     9845.05","    10091.65","      622895963","        28594.32"
"19-Jun-2020","    10119.00","    10272.40","    10072.65","    10244.40","      892096343","        48103.56"
"22-Jun-2020","    10318.75","    10393.65","    10277.60","    10311.20","      685385093","        35529.80"
"23-Jun-2020","    10347.95","    10484.70","    10301.75","    10471.00","      669195109","        34148.13"
"24-Jun-2020","    10529.25","    10553.15","    10281.95","    10305.30","      854799801","        41394.45"
"25-Jun-2020","    10235.55","    10361.80","    10194.50","    10288.90","      994190886","        41726.07"
"26-Jun-2020","    10378.90","    10409.85","    10311.25","    10383.00","      671910159","        31841.68"
"29-Jun-2020","    10311.95","    10337.95","    10223.60","    10312.40","      574544482","        27019.46"
"30-Jun-2020","    10382.60","    10401.05","    10267.35","    10302.10","      556238560","        27342.55"
"01-Jul-2020","    10323.80","    10447.05","    10299.60","    10430.05","      573550127","        28736.28"
"02-Jul-2020","    10493.05","    10598.20","    10485.55","    10551.70","      597423931","        31235.17"
"03-Jul-2020","    10614.95","    10631.30","    10562.65","    10607.35","      525190704","        25186.39"
"06-Jul-2020","    10723.85","    10811.40","    10695.10","    10763.65","      571212914","        29857.54"
"07-Jul-2020","    10802.85","    10813.80","    10689.70","    10799.65","      636764929","        36502.37"
"08-Jul-2020","    10818.65","    10847.85","    10676.55","    10705.75","      767941333","        37676.34"
"09-Jul-2020","    10755.55","    10836.85","    10733.00","    10813.45","      618652409","        31315.87"
"10-Jul-2020","    10764.10","    10819.40","    10713.00","    10768.05","      590705425","        31557.58"
"13-Jul-2020","    10851.85","    10894.05","    10756.05","    10802.70","      554050579","        30606.30"
"14-Jul-2020","    10750.85","    10755.65","    10562.90","    10607.35","      532368699","        30902.47"
"15-Jul-2020","    10701.00","    10827.45","    10577.75","    10618.20","      715901258","        42376.03"
"16-Jul-2020","    10706.20","    10755.30","    10595.20","    10739.95","      694402635","        41453.95"
"17-Jul-2020","    10752.00","    10933.45","    10749.65","    10901.70","      676881092","        35592.83"
"20-Jul-2020","    10999.45","    11037.90","    10953.00","    11022.20","      554306867","        32738.64"
"21-Jul-2020","    11126.10","    11179.55","    11113.25","    11162.25","      771998838","        42461.89"
"22-Jul-2020","    11231.20","    11238.10","    11056.55","    11132.60","      765074288","        41068.72"
"23-Jul-2020","    11135.00","    11239.80","    11103.15","    11215.45","      621575333","        32744.93"
"24-Jul-2020","    11149.95","    11225.40","    11090.30","    11194.15","      678935175","        40217.17"
"27-Jul-2020","    11225.00","    11225.00","    11087.85","    11131.80","      588148687","        34539.73"
"28-Jul-2020","    11154.10","    11317.75","    11151.40","    11300.55","      683891350","        38677.47"
"29-Jul-2020","    11276.90","    11341.40","    11149.75","    11202.85","      600726301","        38726.02"
"30-Jul-2020","    11254.30","    11299.95","    11084.95","    11102.15","      677761342","        39150.44"
"31-Jul-2020","    11139.50","    11150.40","    11026.65","    11073.45","      642560311","        36220.09"
"03-Aug-2020","    11057.55","    11058.05","    10882.25","    10891.60","      680929323","        31149.94"
"04-Aug-2020","    10946.65","    11112.25","    10908.10","    11095.25","      625738313","        35357.96"
"05-Aug-2020","    11155.75","    11225.65","    11064.05","    11101.65","      667639446","        34894.58"
"06-Aug-2020","    11185.70","    11256.80","    11127.30","    11200.15","      600374615","        31501.08"
"07-Aug-2020","    11186.65","    11231.90","    11142.05","    11214.05","      452629891","        27054.43"
"10-Aug-2020","    11270.25","    11337.30","    11238.00","    11270.15","      491999534","        29108.25"
"11-Aug-2020","    11322.25","    11373.60","    11299.15","    11322.50","      586084846","        30314.89"
"12-Aug-2020","    11289.00","    11322.00","    11242.65","    11308.40","      609858960","        28088.09"
"13-Aug-2020","    11334.85","    11359.30","    11269.95","    11300.45","      562355175","        26500.52"
"14-Aug-2020","    11353.30","    11366.25","    11111.45","    11178.40","      645109756","        31059.23"
"17-Aug-2020","    11248.90","    11267.10","    11144.50","    11247.10","      633963958","        27468.67"
"18-Aug-2020","    11259.80","    11401.70","    11253.15","    11385.35","      579242492","        27267.51"
"19-Aug-2020","    11452.15","    11460.35","    11394.10","    11408.40","      626217997","        27528.12"
"20-Aug-2020","    11317.45","    11361.45","    11289.80","    11312.20","      791587770","        27676.18"
"21-Aug-2020","    11409.65","    11418.50","    11362.20","    11371.60","      668719170","        26294.26"
"24-Aug-2020","    11412.00","    11497.25","    11410.65","    11466.45","      532900535","        28920.84"
"25-Aug-2020","    11513.10","    11525.90","    11423.35","    11472.25","      638152608","        28742.82"
"26-Aug-2020","    11512.85","    11561.75","    11461.85","    11549.60","      743442521","        34852.01"
"27-Aug-2020","    11609.30","    11617.35","    11540.60","    11559.25","      719776490","        31580.61"
"28-Aug-2020","    11602.95","    11686.05","    11589.40","    11647.60","      806997707","        39349.92"
"31-Aug-2020","    11777.55","    11794.25","    11325.85","    11387.50","     1371789450","        61668.55"
"01-Sep-2020","    11464.30","    11553.55","    11366.90","    11470.25","      783769555","        36752.54"
"02-Sep-2020","    11478.55","    11554.75","    11430.40","    11535.00","      593494423","        27454.65"
"03-Sep-2020","    11566.20","    11584.95","    11507.65","    11527.45","      607115212","        26868.26"
"04-Sep-2020","    11354.40","    11452.05","    11303.65","    11333.85","      681338905","        31746.86"
"07-Sep-2020","    11359.60","    11381.15","    11251.70","    11355.05","      560322964","        25959.82"
"08-Sep-2020","    11378.55","    11437.25","    11290.45","    11317.35","      572239350","        27979.70"
"09-Sep-2020","    11218.60","    11298.15","    11185.15","    11278.00","      728880693","        32660.67"
